SiteCode,CF,MH,Pastures,Peat,TWS,LD,HD,MD,Alt_mean,Slope_mean,Catchment,Average_d13C
CA,0,100,0,0,0,0,0,99.35876893,444.1,3.8,Gala,-27.38219907
GA01,0,9.86675726,90.13324274,0,0,0,0,100,330.1,3.1,Gala,-31.48160474
GA02,0,0,0,100,0,0,33.75572619,40.50567216,497.9,10.6,Gala,-29.96088197
GA03,0,0,0,100,0,1.783530389,31.12132298,13.88617018,444.9,7.9,Gala,-28.91119875
GA04,0,0,0,0,0,0.004539941,50.95338761,47.17452698,421.3,9.6,Gala,-27.56834103
GA05,0,42.53371377,0,0,0,8.127676248,13.71610087,78.15622289,358,8.9,Gala,-29.45358128
GA06,0,0,0,0,0,18.59557627,18.34779602,56.31422245,476.8,12,Gala,-29.32341681
GA07,0,57.34595048,0,3.874632622,0,7.286631524,34.03372408,49.1409754,468.8,12.5,Gala,-29.07697241
GA08,0,97.14881126,0,2.851188738,0,0,41.01658638,53.79494825,455.1,10.5,Gala,-27.06392934
GA09,0,15.13162328,69.63813721,0,0,28.92938778,4.703029524,66.3675827,329.3,1.5,Gala,-32.08246402
GA10,42.51105239,40.37888403,10.29069828,0,0,39.4666334,2.326788653,42.67407655,347.2,3.4,Gala,-31.9210167
GA11,0,29.91834769,70.08165231,0,0,0,0,86.54809485,342.6,4.2,Gala,-30.77655232
GA12,0,35.54727435,64.45272565,0,0,3.681444518,0,68.15888905,332.2,8.4,Gala,-30.65099251
GA13,0,0,71.40235382,0,0,0,28.79650677,58.33287452,323.7,7.3,Gala,-31.99032042
GA14,0,0,0,94.49111455,0,0,23.72801947,32.52349563,497.1,13.4,Gala,-29.91661361
GA15,0,31.25298082,0,68.74701918,0,0,29.24245486,48.59458037,500.3,2.2,Gala,-29.29775676
GA16,0,82.54894856,0,0,0,0,0,88.91831995,434.6,15.5,Gala,-32.12488858
GA17,0,1.993907394,97.79366493,0,0,0,0,92.27506521,388,9.5,Gala,-30.98610351
GA18,0,65.81480992,0,29.93945756,0,0,0,91.30963378,461.3,14.5,Gala,-28.99299763
GA19,0,15.65512833,60.60177731,0,0,0,0,100,358.1,7.5,Gala,-28.11271663
GA20,0,22.76307955,43.02632992,0,0,0,0,90.03566187,341.1,8.4,Gala,-26.46459542
GA21,0.03447504,0,54.48098341,0,0,5.844048924,0,57.09878925,290.5,4.1,Gala,-26.82850016
GA22,0,0,0,0,0,10.85580944,0,75.71112763,293.4,4.7,Gala,-29.11259742
SB,0,66.38120427,0,0,0,0,52.24877491,31.6438336,574.8,13.1,Upper Tweed,-27.70109869
UTW10,0,0,0,0,0,0.29270362,41.19249623,57.68976245,380.6,11.2,Upper Tweed,-29.97332332
UTW11,0,71.36029606,0,0,0,0,25.56145843,49.54405197,418.6,1.1,Upper Tweed,-28.54528754
UTW12,0,99.52439494,0.475605055,0,0,0,0,25.57835462,283.9,4.9,Upper Tweed,-26.24875514
UTW13,24.24067692,64.84869722,2.065175447,0,0,0,0,100,459.9,13.4,Upper Tweed,-28.05197574
UTW14,0,100,0,0,0,0,0,98.00984942,517.6,14.9,Upper Tweed,-27.61053967
UTW16,0,58.46476142,19.22957806,0,0,0,0,90.47641478,450.2,6.8,Upper Tweed,-26.46357591
UTW17,9.608270052,3.154673082,52.19018763,0,0,15.4800854,0,84.5199146,368.5,7.5,Upper Tweed,-29.99754095
UTW18,0,37.04442358,0,0,0,5.75876977,15.40023495,68.99129662,458.6,4.4,Upper Tweed,-30.26332617
UTW19,0,0,75.3063872,0,0,4.770928774,0,56.81812594,335.1,7.5,Upper Tweed,-28.57567755
UTW20,0,0,21.86995774,0,0,38.37587734,0,54.73613424,343.9,6.2,Upper Tweed,-30.98975147
UTW21,0,0,41.42741405,0,0,15.16304593,0,81.34461315,299.8,8.5,Upper Tweed,-30.47705104
UTW22,0.608983985,0,78.67088806,0,0,33.59387179,0,66.4049055,331.3,6.3,Upper Tweed,-30.67651681
UTW23,0,0,94.86914089,0,0,0,0,45.98461754,269.7,5.2,Upper Tweed,-36.86220284
UTW24,2.589972706,2.521574001,94.80279102,0,2.607236277,54.06270657,0,20.81904252,328.6,6.2,Upper Tweed,-31.62659513
UTW25,41.8263059,0,0,0,14.41177064,26.05072084,24.51908338,39.01981101,374.3,9.4,Upper Tweed,-27.71948659
UTW26,0,0,48.86774351,0,0,0,0,98.81189882,281.4,4.8,Upper Tweed,-33.5990442
UTW27,0,0,99.99719111,0,0,1.737465932,0,84.41634083,300.1,5.2,Upper Tweed,-27.81359768
UTW28,0,0,79.64186758,0,0.161667488,0,0,92.8367788,292.1,3.9,Upper Tweed,-30.00438978
UTW29,95.14266879,7.17e-05,0,0,4.857259555,7.57263507,0,92.42736493,403.9,10.7,Upper Tweed,-29.21828869
UTW30,0,0.236933187,0,2.606125888,0,12.24388686,45.92852734,33.99477702,474.1,15.8,Upper Tweed,-30.61925544
UTW31,0,47.89353202,0,0.000125881,0,6.927438227,42.871844,40.33564997,464.9,13.8,Upper Tweed,-27.14256946
UTW32,78.90268359,5.310092158,0,7.690981536,8.096242714,0,32.52395967,47.19756939,519.1,20.4,Upper Tweed,-27.30877298
UTW33,62.69109407,37.30890594,0,0,0,1.710772398,22.87750904,60.44909009,491.6,9.1,Upper Tweed,-28.15238027
UTW34,28.51169504,68.31168372,0,3.176621245,0,0,36.2374754,62.96488371,382.9,18.2,Upper Tweed,-29.11273798
UTW35,0,0,0,7.897346656,0,0,11.25103417,88.74896583,377.3,15.2,Upper Tweed,-28.6708986
UTW36,98.39669711,1.603302888,0,0,0,6.615717496,11.26027247,74.99601006,415.1,17.5,Upper Tweed,-28.61806695
UTW37,0,36.73883552,0,0,0,0,52.70519944,36.79276932,450.5,11.9,Upper Tweed,-30.05732664
