SiteCode,CF,MH,Pastures,Peat,TWS,LD,MD,HD,Alt_mean,Slope_mean,Catchment,Average_d13C
CA,0,62.19528777,0,22.57601868,0,3.146787074,10.5776929,62.8762706,444.1,3.8,Gala,-27.38219907
GA01,8.350853976,16.90786669,47.57375027,0,0,28.82161379,20.46129114,33.93023313,330.1,3.1,Gala,-31.48160474
GA02,0,0,0,100,0,3.879349442,13.16926604,40.59418227,497.9,10.6,Gala,-29.96088197
GA03,0,0,0,100,0,7.990415595,6.629331244,31.12249759,444.9,7.9,Gala,-28.91119875
GA04,0,0,0,45.18007281,0,7.300024756,19.70018755,64.59441624,421.3,9.6,Gala,-27.56834103
GA05,0,17.53152188,0,0,0,14.82912806,47.4959849,37.67488703,358,8.9,Gala,-29.45358128
GA06,0,0,0,64.66796117,0,2.980702075,22.12559337,30.71502991,476.8,12,Gala,-29.32341681
GA07,0,70.5953362,0,13.34653648,0,8.998120521,16.40328368,43.23553788,468.8,12.5,Gala,-29.07697241
GA08,0,53.48891904,0,46.51108096,0,0,28.52436026,35.63394605,455.1,10.5,Gala,-27.06392934
GA09,0.516812151,35.78693862,23.27369712,0,0,43.7146502,9.665689967,17.91675126,329.3,1.5,Gala,-32.08246402
GA10,50.44963243,30.42059569,5.395686248,0,0,59.15778004,30.95740538,4.45300763,347.2,3.4,Gala,-31.9210167
GA11,22.6864676,17.87069352,57.10844294,0,0,11.66050849,20.4224057,58.4404185,342.6,4.2,Gala,-30.77655232
GA12,0,42.81635752,57.18364248,0,0,8.578388051,17.39463447,39.07122452,332.2,8.4,Gala,-30.65099251
GA13,0,24.02804206,56.79538967,0,0,0.60754441,0.796988336,75.95612207,323.7,7.3,Gala,-31.99032042
GA14,0,0,0,93.02219438,0,0,28.67975861,20.54567313,497.1,13.4,Gala,-29.91661361
GA15,0,15.11751061,0,84.88248939,0,0,15.80068887,20.01854454,500.3,2.2,Gala,-29.29775676
GA16,0,80.07257687,0,0,0,0,0,80.04734405,434.6,15.5,Gala,-32.12488858
GA17,0,27.31442742,48.75035918,0,0,0,0,80.04826997,388,9.5,Gala,-30.98610351
GA18,0,28.77853793,0,49.36782052,0,0,17.25403896,40.70826243,461.3,14.5,Gala,-28.99299763
GA19,0,34.00531734,45.37755855,3.941431917,0,10.80154721,14.29991822,67.98338589,358.1,7.5,Gala,-28.11271663
GA20,0,60.96317698,12.11168836,0,0,0,13.65728528,72.54207993,341.1,8.4,Gala,-26.46459542
GA21,2.896197109,0,50.74988556,0,0,1.076169643,22.2156218,60.2718772,290.5,4.1,Gala,-26.82850016
GA22,0,12.6879842,54.72244636,0,0,51.64967529,0.867873731,43.5450121,293.4,4.7,Gala,-29.11259742
SB,0,79.03482371,0,0,0,0,42.49276652,22.83249183,574.8,13.1,Upper Tweed,-27.70109869
UTW10,0,1.036129378,0,0,0.121566154,0,59.39555002,36.41051174,380.6,11.2,Upper Tweed,-29.97332332
UTW11,0,51.58904684,0,0,0,0,32.11662428,62.42643024,418.6,1.1,Upper Tweed,-28.54528754
UTW12,0,98.81470134,1.185298662,0,0,0,0,47.87671855,283.9,4.9,Upper Tweed,-26.24875514
UTW13,35.32644485,61.42426204,0.880207247,0,0,0,31.02990867,62.14942612,459.9,13.4,Upper Tweed,-28.05197574
UTW14,0,100,0,0,0,0,24.53692914,59.97056345,517.6,14.9,Upper Tweed,-27.61053967
UTW16,0,86.30502642,8.24803829,0,0,0,10.32158116,65.68909598,450.2,6.8,Upper Tweed,-26.46357591
UTW17,22.20339668,29.44676436,16.91651464,0,7.179365494,18.90077877,20.2581241,60.19192286,368.5,7.5,Upper Tweed,-29.99754095
UTW18,0,37.33667588,0,0,0,2.527090863,45.18687334,45.42983916,458.6,4.4,Upper Tweed,-30.26332617
UTW19,0,49.22281488,27.55306172,0,0,23.52583061,6.077708618,55.02207303,335.1,7.5,Upper Tweed,-28.57567755
UTW20,3.756263402,0,9.360829154,0,0,62.20727632,5.687077022,30.45287777,343.9,6.2,Upper Tweed,-30.98975147
UTW21,2.666278386,13.4246342,52.39330985,0,0,20.62740009,3.257880413,52.78466275,299.8,8.5,Upper Tweed,-30.47705104
UTW22,11.84706017,50.57002195,34.67362512,0,0,37.12714546,0.216028437,57.70941529,331.3,6.3,Upper Tweed,-30.67651681
UTW23,0,0.017382455,65.35961989,0,0.766737094,0,8.8593836,49.94802346,269.7,5.2,Upper Tweed,-36.86220284
UTW24,4.504369615,56.67900449,35.23004058,0,3.586585315,47.99193763,6.486271775,37.22747442,328.6,6.2,Upper Tweed,-31.62659513
UTW25,59.92990466,0.239720951,0,0,14.78897284,44.24335902,4.060647236,38.67738791,374.3,9.4,Upper Tweed,-27.71948659
UTW26,0,14.07445272,64.53298588,1.208847203,0,24.22104733,8.682660178,49.46326594,281.4,4.8,Upper Tweed,-33.5990442
UTW27,9.467570054,0,74.59818408,0,0.165027395,14.17215855,6.778960875,66.73856528,300.1,5.2,Upper Tweed,-27.81359768
UTW28,0,14.50405054,79.62222109,0,4.715780378,6.464877206,5.840394214,76.62198144,292.1,3.9,Upper Tweed,-30.00438978
UTW29,96.81240229,2.430401878,0,0,0.757195835,15.96256005,0.214501343,83.67406007,403.9,10.7,Upper Tweed,-29.21828869
UTW30,0,6.241552719,0,4.673979387,0,13.04271535,32.91949377,46.9953584,474.1,15.8,Upper Tweed,-30.61925544
UTW31,0,34.67537093,0,28.89041413,0,5.925874314,40.0231802,23.65690806,464.9,13.8,Upper Tweed,-27.14256946
UTW32,60.02143275,0.000681041,0,31.22947864,8.748407566,0,35.36451698,23.11956669,519.1,20.4,Upper Tweed,-27.30877298
UTW33,69.81341918,9.503390697,0,11.1676617,7.684198981,0.552617135,24.68058232,54.55385685,491.6,9.1,Upper Tweed,-28.15238027
UTW34,18.0228594,74.4980772,0,0.143161005,7.335902398,0,48.26640236,51.64487147,382.9,18.2,Upper Tweed,-29.11273798
UTW35,0,3.875850329,0,1.122955688,0,0,31.28922539,67.59577881,377.3,15.2,Upper Tweed,-28.6708986
UTW36,100,0,0,0,0,13.64369695,5.079020779,69.24799413,415.1,17.5,Upper Tweed,-28.61806695
UTW37,0,40.68933796,0,0,0,10.77096526,52.80211522,26.96456286,450.5,11.9,Upper Tweed,-30.05732664
